Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.00     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.00     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.00     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.00     0.00       70     0.00     0.00  std::pair<int, int> const& std::forward<std::pair<int, int> const&>(std::remove_reference<std::pair<int, int> const&>::type&)
  0.00      0.00     0.00       44     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_get_Node_allocator()
  0.00      0.00     0.00       30     0.00     0.00  graph::Neighbor::Neighbor(int, int, graph::Neighbor*)
  0.00      0.00     0.00       30     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      0.00     0.00       29     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_ptr()
  0.00      0.00     0.00       29     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_addr()
  0.00      0.00     0.00       29     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >::_M_valptr()
  0.00      0.00     0.00       26     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       25     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_ptr() const
  0.00      0.00     0.00       25     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_addr() const
  0.00      0.00     0.00       25     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >::_M_valptr() const
